12.80	10.72	5.00
13.20	-2.72	0.00
13.60	-31.10	-11.00
14.00	-42.59	-16.00
14.40	-13.06	-19.00
14.80	-20.64	-25.00
15.20	-58.67	-27.00
15.60	-50.85	-25.00
16.00	-46.09	-21.00
16.40	-42.21	-17.00
16.80	-42.59	-16.00
17.20	-42.21	-17.00
17.60	-42.49	-11.00
18.00	-53.73	-13.00
18.40	-63.59	-25.00
18.80	-67.11	-36.00
19.20	-70.88	-40.00
19.60	-67.66	-37.00
20.00	-59.86	-26.00
20.40	-2.90	0.00
20.80	29.12	12.00
21.20	44.40	19.00
21.60	29.12	12.00
22.00	53.54	24.00
22.40	51.57	17.00
22.80	1000.00	1000.00
23.20	1000.00	1000.00
23.60	1000.00	1000.00
24.00	1000.00	1000.00
24.40	1000.00	1000.00
24.80	1000.00	1000.00
25.20	1000.00	1000.00
25.60	1000.00	1000.00
26.00	1000.00	1000.00
26.40	1000.00	1000.00
26.80	1000.00	1000.00
27.20	1000.00	1000.00
27.60	1000.00	1000.00
28.00	1000.00	1000.00
28.40	1000.00	1000.00
28.80	1000.00	1000.00
29.20	1000.00	1000.00
29.60	1000.00	1000.00
30.00	1000.00	1000.00
30.40	42.76	10.00
30.80	-51.62	-12.00
31.20	1000.00	1000.00
31.60	1000.00	1000.00
32.00	-53.59	-24.00
32.40	-19.75	-21.00
32.80	-17.81	-15.00
33.20	-0.06	1.00
33.60	56.49	31.00
34.00	64.63	34.00
34.40	67.19	45.00
34.80	69.99	48.00
35.20	67.84	36.00
35.60	59.87	23.00
36.00	1000.00	1000.00
36.40	7.99	10.00
36.80	25.62	14.00
37.20	14.81	7.00
37.60	37.36	15.00
38.00	56.63	29.00
38.40	50.08	23.00
38.80	0.46	1.00
39.20	-55.68	-22.00
39.60	-60.77	-27.00
40.00	-59.07	-32.00
0.40	-60.55	-34.00
0.80	-60.55	-34.00
1.20	-59.82	-33.00
1.60	-65.32	-36.00
2.00	-41.95	-36.00
2.40	-2.86	-7.00
2.80	-14.34	-14.00
3.20	-54.67	-25.00
3.60	-49.25	-22.00
4.00	-50.46	-23.00
4.40	-55.69	-26.00
4.80	-49.47	-19.00
5.20	-47.16	-16.00
5.60	-63.21	-30.00
6.00	-62.72	-32.00
6.40	1000.00	1000.00
6.80	13.30	6.00
7.20	45.09	18.00
7.60	41.07	17.00
8.00	37.36	15.00
8.40	33.24	13.00
8.80	23.01	10.00
9.20	39.26	16.00
9.60	44.06	16.00
10.00	25.50	9.00
10.40	13.64	5.00
10.80	35.42	13.00
11.20	35.29	15.00
11.60	21.64	10.00
12.00	12.42	6.00
12.40	-14.91	-5.00
12.80	-31.50	-12.00
13.20	-47.28	-19.00
13.60	-51.27	-22.00
14.00	-45.80	-18.00
14.40	-52.71	-25.00
14.80	-57.46	-30.00
15.20	-61.24	-35.00
15.60	-58.87	-34.00
16.00	-55.69	-26.00
16.40	-58.33	-20.00
16.80	-69.67	-30.00
17.20	-1.94	-7.00
17.60	0.38	3.00
18.00	-0.28	0.00
18.40	-40.06	-27.00
18.80	-56.66	-27.00
19.20	-30.64	-10.00
19.60	3.82	2.00
20.00	-6.24	-1.00
20.40	7.15	3.00
20.80	0.87	1.00
21.20	-65.16	-18.00
21.60	-76.11	-23.00
22.00	-5.91	-6.00
22.40	1.90	7.00
22.80	4.64	21.00
23.20	1000.00	1000.00
23.60	1000.00	1000.00
24.00	1000.00	1000.00
24.40	1000.00	1000.00
24.80	1000.00	1000.00
25.20	1000.00	1000.00
25.60	1000.00	1000.00
26.00	1000.00	1000.00
26.40	1000.00	1000.00
26.80	1000.00	1000.00
27.20	1000.00	1000.00
27.60	1000.00	1000.00
28.00	1000.00	1000.00
28.40	1000.00	1000.00
28.80	1000.00	1000.00
29.20	1000.00	1000.00
29.60	1000.00	1000.00
30.00	1000.00	1000.00
